"inSALMO cell data file, Clear Creek site Restoration 3C",,,,
From J. White 12/4/2012,,,,
Cell#,FracVelShelter,DistToHidingCover,FracSpawnGravel,ReachEndCode
312,0,4.584,0.363,I
313,0.159,1.476,0,I
314,1,0.877,0,I
315,0.627,0.585,0,I
316,0.834,0.529,0,I
317,0.279,0.797,0,I
318,0,3.276,0.245,I
319,0,10.879,0.953,I
320,0,12.643,0.984,I
321,0,13.414,0.999,I
322,0,8.087,0.994,I
323,0.155,5.097,0.993,I
324,0.367,2.955,0.985,I
325,0,2.109,0.957,I
326,0.091,0.678,0.016,I
327,0.302,0.736,0.052,I
328,0,1.128,0.067,I
329,0,3.958,0.809,I
330,0,4.361,0.9,I
331,0,11.557,0.992,I
332,0,5.773,0.878,I
333,0.04,3.469,0.489,I
334,0.035,0.582,0,I
335,0.054,2.028,0.067,I
336,1,0.331,0,I
337,1,0.853,0,I
338,0.207,2.499,0,I
339,1,4.023,0.562,I
340,0.481,2.821,0.076,I
341,0.249,4.887,0.108,I
342,0.416,7.734,1,I
343,0,9.524,0.245,I
344,0,16.067,0.999,I
345,0,11.415,0.317,I
346,0,12.09,0.999,I
347,0,11.119,0.999,I
348,0,12.811,0.967,I
349,0.292,3.902,0.44,I
350,0.617,1.065,0.08,I
351,1,0.509,0,I
352,0.077,0.742,0.005,I
353,0.291,3.37,0.944,I
354,0,12.34,1,I
355,0,19.569,1,I
356,0.303,1.717,0.682,I
357,0.744,3.195,0.81,I
358,0.538,1.719,0.995,I
359,0.615,2.035,0.999,I
360,1,1.515,0.992,I
361,0,3.984,0.897,I
362,0,10.618,0.999,I
363,0,19.467,0.998,I
364,0,10.418,0.999,I
365,0,11.837,0.998,I
366,0.142,6.151,0.539,I
367,0.377,0.917,0.077,I
368,0.618,0.928,0,I
369,0,0.966,0,I
370,0.576,1.798,0,I
371,0.529,1.6,0.107,I
372,0,5.7,0.926,I
373,0,6.367,0.532,I
374,0,14.732,1,I
375,0,10.617,0.866,I
376,0.471,3.955,0.001,I
377,0.613,1.22,0,I
378,1,0.95,0,I
379,1,2.211,0,I
380,0.266,3.715,0,I
381,0,8.386,0.434,I
382,0,16.703,1,I
383,0,4.498,0.419,I
384,0,11.443,0.962,I
385,0,0.799,0,I
386,0.467,1.114,0,I
387,0,1.518,0.001,I
388,0,4.238,0.167,I
389,0,8.258,0.932,I
390,0,15.163,0.999,I
391,0,14.609,0.996,I
392,0,4.869,0.135,I
393,0.639,0.963,0,I
394,0.975,0.872,0,I
395,0.467,1.054,0,I
396,0.021,1.155,0,I
397,1,1.272,0.015,I
398,0,1.558,0,I
399,0.465,1.231,0.047,I
400,0,4.989,0.009,I
401,0,4.407,0.644,I
402,0,15.326,0.397,I
403,0,15.57,0.999,I
404,0,6.987,0.95,I
405,0.675,0.46,0,I
406,1,0.528,0,I
407,1,2.212,0.936,I
408,0.611,4.556,0.969,I
409,0.369,0.979,0.271,I
