"inSALMO cell data file, Clear Creek site Upper Isolation",,,,
Developed from USFWS data; from J. White 12/4/2012,,,,
Cell#,FracVelShelter,DistToHidingCover,FracSpawnGravel,ReachEndCode
382,0.237,1.357,0.042,I
383,0.339,1.361,0.537,I
384,0,7.919,0.65,I
385,0.231,1.016,0.87,I
386,0,5.249,0.998,I
387,0.042,27.866,0.712,I
388,0.1,31.044,0.295,I
389,0,23.853,0.723,I
390,0.021,39.587,0.736,I
391,0.028,17.338,0.66,I
392,0,3.141,0.579,I
393,0,13.316,0.912,I
394,0,26.492,0.997,I
395,0,39.794,0.999,I
396,0,37.125,0.999,I
397,0.145,3.121,0.989,I
398,0.093,12.661,0.999,I
399,0.031,20.405,0.892,I
400,0,29.121,0.879,I
401,0.13,13.833,0.995,I
402,0.065,7.789,0.996,I
403,0.349,7.698,0.503,I
404,0,13.008,0.999,I
405,0.298,22.706,0.975,I
406,0,22.498,0.999,I
407,0,22.495,0.937,I
408,0,24.426,0.999,I
409,0,33.363,1,I
410,0,18.897,0.972,I
411,0.032,5.544,0.896,I
412,0.117,17.547,0.92,I
413,0,12.548,0.791,I
414,0.411,7.431,0.82,I
415,0,17.155,0.706,I
416,0.447,5.07,0.991,I
417,0,12.3,0.994,I
418,0.522,3.708,0.912,I
419,0,17.082,0.809,I
420,0,11.397,0.941,I
421,0.038,6.477,0.929,I
422,0.089,5.751,0.711,I
423,0,11.914,0.999,I
424,0.254,1.355,0.65,I
425,0.182,3.429,1,I
426,0.089,5.717,0.991,I
427,0.571,3.834,0.794,I
428,0.294,1.127,0.126,I
429,0.03,1.224,0.359,I
430,0,17.3,0.433,I
431,0,4.821,0.778,I
432,0,13.98,1,I
433,0,12.609,0.993,I
434,0.305,6.469,0.688,I
435,0,10.033,0.887,I
436,0,14.757,0.999,I
437,0,15.303,0.811,I
438,0.138,7.151,0.636,I
439,0.079,2.431,0,I
440,0.167,1.579,0,I
441,0.271,0.804,0,I
442,0,0.664,0,I
443,0,0.746,0,I
444,0.064,1.743,0,I
445,0.165,0.499,0,I
446,0.37,0.504,0.039,I
447,0.162,0.834,0,I
448,0,1.349,0.046,I
449,0.229,2.073,0.533,I
450,0,4.82,0.819,I
451,0,2.897,0.03,I
452,0,0.755,0,I
453,0.18,0.586,0,I
454,0.168,1.068,0,I
455,0.528,0.559,0,I
456,0.256,0.583,0.253,I
457,0.409,1.675,0.242,I
458,0.217,9.215,0.252,I
459,0.363,0.726,0.075,I
460,0.13,2.851,0,I
461,0.715,2.163,0.004,I
462,0.522,2.181,0.357,I
463,0.294,0.886,0,I
464,0.152,0.921,0.099,I
465,0.065,0.655,0,I
466,0.375,0.725,0,I
467,1,1.148,0,I
468,0.293,1.042,0,I
469,0.342,0.912,0,I
470,0.898,0.748,0,I
471,0.194,0.756,0,I
472,0.365,2.403,0.457,I
473,0.514,1.655,0.168,I
474,0.022,1.254,0.04,I
475,0.354,1.311,0.033,I
476,0.166,1.531,0.044,I
477,0.254,1.372,0.115,I
