Hydraulic data input file for inSTREAM 4.5 																																														
Created from Clear Creek Reach 3c Data 14 OCT 2010 by D.S. Montoya																																														
flows	1.42		2.12		2.83		3.54		4.25		4.96		5.66		6.37		7.08		7.79		8.5		9.91		11.33		12.74		14.16		15.57		16.99		18.41		19.82		21.24		22.65		24.07		25.49	
poly-id	depth@050	veloc@050	depth@075	veloc@075	depth@100	veloc@100	depth@125	veloc@125	depth@150	veloc@150	depth@175	veloc@175	depth@200	veloc@200	depth@225	veloc@225	depth@250	veloc@250	depth@275	veloc@275	depth@300	veloc@300	depth@350	veloc@350	depth@400	veloc@400	depth@450	veloc@450	depth@500	veloc@500	depth@550	veloc@550	depth@600	veloc@600	depth@650	veloc@650	depth@700	veloc@700	depth@750	veloc@750	depth@800	veloc@800	depth@850	veloc@850	depth@900	veloc@900
21	0.2087	0.3688	0.2744	0.5573	0.3334	0.7033	0.3897	0.8146	0.4339	0.8796	0.4751	0.9416	0.5074	0.9988	0.5332	1.0457	0.5613	1.0985	0.5874	1.1515	0.6128	1.2025	0.6583	1.2834	0.7016	1.3546	0.7466	1.4235	0.7852	1.4862	0.8245	1.5527	0.8566	1.6112	0.8919	1.6625	0.9221	1.7111	0.9517	1.7573	0.9826	1.8043	1.0117	1.8431	1.0412	1.8856
22	0.3587	0.6647	0.4337	0.8253	0.4935	0.9604	0.5515	1.0481	0.6018	1.0725	0.6505	1.0918	0.6905	1.1091	0.7216	1.1225	0.7546	1.1407	0.7842	1.1639	0.8124	1.1915	0.8617	1.2409	0.9077	1.2895	0.9545	1.3392	0.9934	1.3901	1.0308	1.4521	1.0628	1.5024	1.0997	1.5396	1.1322	1.5735	1.1646	1.6041	1.1983	1.6351	1.23	1.6596	1.2622	1.6873
23	-0.3717	0	-0.299	0	-0.2375	0.0004	-0.1874	0.0121	-0.1512	0.028	-0.1161	0.0446	-0.0874	0.0647	-0.064	0.0883	-0.0384	0.1337	-0.0155	0.1645	0.006	0.1941	0.0452	0.2902	0.0818	0.3714	0.1195	0.4491	0.1519	0.524	0.1833	0.5718	0.2084	0.6329	0.2352	0.7327	0.2575	0.8064	0.279	0.8617	0.3038	0.9183	0.329	0.9676	0.3546	1.0137
24	-0.3611	0.0102	-0.2857	0.0167	-0.2246	0.0303	-0.1745	0.052	-0.1383	0.0662	-0.1019	0.0814	-0.0713	0.1077	-0.0459	0.142	-0.0177	0.1838	0.0087	0.2313	0.0339	0.2862	0.0753	0.3848	0.112	0.4465	0.1486	0.5042	0.1798	0.5621	0.2143	0.6304	0.2432	0.711	0.2715	0.7957	0.2964	0.8669	0.3216	0.9429	0.3443	1.0155	0.3629	1.0777	0.3812	1.1462
25	-0.1696	0.1436	-0.0981	0.1677	-0.0365	0.1978	0.0221	0.2354	0.0692	0.2629	0.1145	0.3072	0.1509	0.3617	0.1791	0.399	0.2092	0.4339	0.2373	0.4635	0.2644	0.4854	0.312	0.5327	0.3603	0.5879	0.4069	0.6262	0.4465	0.6545	0.4858	0.6852	0.519	0.7134	0.5562	0.7415	0.5885	0.7686	0.6204	0.7955	0.6537	0.8228	0.6849	0.8439	0.7166	0.8649
26	0.0486	0.0738	0.1216	0.1583	0.1816	0.2538	0.2319	0.3721	0.2691	0.4588	0.3054	0.5442	0.3358	0.6321	0.3604	0.7122	0.3873	0.7926	0.4123	0.8642	0.4368	0.9357	0.4796	1.0681	0.5186	1.178	0.5581	1.2806	0.5921	1.3684	0.6273	1.4565	0.6564	1.5345	0.6866	1.6126	0.7126	1.6846	0.7381	1.7536	0.764	1.8244	0.7878	1.8863	0.8118	1.9522
27	0.3316	0.7607	0.396	0.9202	0.4561	1.0191	0.5124	1.0778	0.5559	1.1085	0.5965	1.1513	0.6273	1.209	0.6518	1.2558	0.6788	1.3068	0.704	1.3567	0.729	1.401	0.7748	1.4629	0.819	1.5123	0.8648	1.5572	0.9047	1.5975	0.9462	1.6375	0.9799	1.6799	1.016	1.7194	1.0468	1.7607	1.0767	1.8008	1.1079	1.8416	1.1372	1.8746	1.167	1.9112
28	-0.2337	0.1121	-0.1711	0.1354	-0.1139	0.1424	-0.0619	0.1519	-0.021	0.1642	0.0233	0.2185	0.0645	0.3308	0.0962	0.384	0.1315	0.4115	0.1658	0.4311	0.1995	0.4489	0.2588	0.4791	0.3124	0.5289	0.3709	0.6844	0.4192	0.8088	0.4663	0.8744	0.5072	0.9177	0.5497	0.9628	0.5897	1.0109	0.6295	1.053	0.6708	1.0884	0.7079	1.1178	0.7472	1.1506
29	-0.3079	0.04	-0.2411	0.11	-0.1841	0.1258	-0.1328	0.1338	-0.093	0.1413	-0.0505	0.1585	-0.0107	0.2146	0.0224	0.3058	0.0583	0.3789	0.0918	0.4107	0.1245	0.4327	0.1818	0.4657	0.2334	0.4951	0.2827	0.5337	0.3277	0.6089	0.3758	0.7281	0.4201	0.8943	0.4654	1.0106	0.5049	1.0649	0.5428	1.1053	0.5823	1.1457	0.6178	1.1812	0.655	1.2198
30	-0.0937	0.2101	-0.0307	0.2398	0.0259	0.2716	0.0782	0.3044	0.1189	0.3263	0.1629	0.3741	0.203	0.4452	0.2349	0.4835	0.2704	0.5086	0.3048	0.5299	0.3386	0.5566	0.3992	0.6304	0.4554	0.7306	0.5087	0.8216	0.5552	0.8703	0.6037	0.9136	0.6459	0.9623	0.6908	1.0485	0.733	1.1266	0.7735	1.1754	0.8153	1.2078	0.8529	1.2315	0.8923	1.2558
